file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,getVisualizacoes/0,false,106,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,getDescricao/0,false,58,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,getAtivo/0,false,98,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,setDesconto/1[java.lang.Double],false,70,0,3,3,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,getDesconto/0,false,66,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,setDataInicio/1[java.util.Date],false,86,0,3,3,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,setDataFim/1[java.util.Date],false,94,0,3,3,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,setId/1[java.lang.Long],false,38,0,3,3,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,"LivroDestaque/4[java.lang.Long,java.lang.String,java.lang.String,java.lang.Double]",true,24,0,0,0,0,1,0,8,0,0,4,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,8,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,getIdLivro/0,false,42,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
